date,01,02,04,05,06,08,09,10,11,12,13,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,44,45,46,47,48,49,50,51,53,54,55,56,72
2022-02-12,9.0,0.0,53.0,23.0,28.0,27.0,0.0,0.0,0.0,47.0,41.0,0.0,1.0,8.0,31.0,46.0,22.0,11.0,85.0,5.0,6.0,30.0,40.0,20.0,21.0,46.0,13.0,29.0,8.0,9.0,20.0,4.0,23.0,25.0,7.0,26.0,68.0,2.0,50.0,0.0,11.0,18.0,21.0,131.0,3.0,0.0,34.0,8.0,2.0,29.0,2.0,15.0
2022-02-19,21.0,0.0,56.0,22.0,11.0,16.0,1.0,0.0,1.0,47.0,48.0,0.0,1.0,22.0,53.0,40.0,25.0,12.0,170.0,5.0,13.0,43.0,49.0,30.0,25.0,55.0,7.0,32.0,9.0,7.0,22.0,5.0,39.0,34.0,8.0,33.0,74.0,5.0,88.0,1.0,17.0,13.0,26.0,226.0,3.0,0.0,31.0,6.0,4.0,25.0,2.0,7.0
2022-02-26,10.0,1.0,80.0,37.0,23.0,24.0,7.0,0.0,0.0,55.0,44.0,0.0,3.0,26.0,42.0,57.0,34.0,23.0,116.0,2.0,15.0,34.0,50.0,19.0,27.0,50.0,16.0,40.0,9.0,0.0,28.0,4.0,29.0,33.0,0.0,32.0,75.0,4.0,77.0,0.0,13.0,12.0,42.0,323.0,5.0,1.0,27.0,5.0,8.0,29.0,4.0,7.0
2022-03-05,26.0,0.0,80.0,57.0,34.0,21.0,4.0,1.0,1.0,59.0,27.0,0.0,1.0,21.0,59.0,56.0,28.0,23.0,80.0,2.0,23.0,11.0,74.0,28.0,34.0,72.0,21.0,53.0,24.0,2.0,33.0,4.0,57.0,44.0,3.0,53.0,82.0,2.0,68.0,2.0,16.0,30.0,29.0,305.0,9.0,0.0,27.0,13.0,21.0,61.0,4.0,6.0
2022-03-12,35.0,2.0,79.0,60.0,40.0,38.0,8.0,7.0,4.0,47.0,38.0,0.0,13.0,34.0,108.0,54.0,40.0,30.0,62.0,2.0,16.0,23.0,88.0,35.0,33.0,67.0,14.0,43.0,33.0,14.0,30.0,6.0,51.0,55.0,7.0,75.0,116.0,7.0,79.0,0.0,14.0,13.0,28.0,405.0,12.0,0.0,18.0,12.0,21.0,41.0,6.0,23.0
2022-03-19,23.0,1.0,104.0,62.0,51.0,55.0,18.0,4.0,2.0,58.0,35.0,1.0,16.0,58.0,119.0,49.0,31.0,39.0,64.0,1.0,19.0,36.0,119.0,29.0,31.0,90.0,16.0,61.0,41.0,10.0,41.0,15.0,84.0,14.0,5.0,94.0,161.0,18.0,101.0,1.0,14.0,12.0,28.0,589.0,17.0,0.0,32.0,21.0,43.0,53.0,3.0,21.0
2022-03-26,17.0,3.0,120.0,74.0,61.0,82.0,25.0,4.0,4.0,84.0,33.0,0.0,14.0,114.0,125.0,43.0,49.0,42.0,74.0,3.0,30.0,30.0,134.0,37.0,48.0,79.0,19.0,60.0,53.0,7.0,60.0,36.0,85.0,23.0,9.0,104.0,156.0,24.0,109.0,1.0,7.0,5.0,43.0,594.0,6.0,8.0,35.0,24.0,19.0,58.0,7.0,31.0
2022-04-02,25.0,0.0,99.0,56.0,79.0,121.0,26.0,3.0,4.0,78.0,45.0,1.0,19.0,88.0,115.0,36.0,28.0,53.0,63.0,9.0,29.0,78.0,146.0,33.0,25.0,91.0,38.0,25.0,68.0,6.0,80.0,39.0,163.0,28.0,4.0,97.0,165.0,10.0,140.0,3.0,15.0,5.0,38.0,519.0,17.0,9.0,39.0,20.0,37.0,57.0,2.0,26.0
2022-04-09,21.0,2.0,116.0,74.0,96.0,104.0,47.0,7.0,2.0,83.0,33.0,3.0,20.0,105.0,109.0,25.0,32.0,90.0,30.0,11.0,47.0,131.0,160.0,28.0,32.0,77.0,19.0,35.0,110.0,13.0,136.0,43.0,195.0,35.0,4.0,127.0,118.0,14.0,183.0,5.0,18.0,11.0,31.0,338.0,14.0,14.0,35.0,24.0,36.0,44.0,10.0,31.0
2022-04-16,11.0,1.0,93.0,43.0,104.0,139.0,45.0,38.0,2.0,148.0,42.0,9.0,16.0,79.0,93.0,25.0,19.0,105.0,48.0,15.0,51.0,167.0,150.0,27.0,22.0,77.0,14.0,29.0,88.0,17.0,140.0,28.0,226.0,57.0,7.0,133.0,100.0,14.0,189.0,9.0,31.0,4.0,35.0,319.0,16.0,12.0,51.0,32.0,43.0,66.0,8.0,55.0
2022-04-23,25.0,2.0,131.0,34.0,148.0,179.0,52.0,17.0,1.0,141.0,46.0,7.0,17.0,106.0,64.0,20.0,26.0,82.0,44.0,20.0,43.0,176.0,138.0,33.0,16.0,70.0,21.0,16.0,84.0,28.0,126.0,41.0,275.0,45.0,7.0,115.0,76.0,27.0,200.0,10.0,32.0,3.0,34.0,407.0,9.0,12.0,42.0,34.0,39.0,54.0,1.0,74.0
